"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Mar 13 10:13:32 WAT 2023","Mon Mar 13 10:13:32 WAT 2023","4","","","","","","Login with invalid password",""
"passed","Mon Mar 13 10:14:37 WAT 2023","Mon Mar 13 10:14:38 WAT 2023","388","","","","","","Read files using Fixture",""
"passed","Mon Mar 13 10:14:38 WAT 2023","Mon Mar 13 10:14:38 WAT 2023","26","","","","","","Write file demo",""
"failed","Mon Mar 13 10:12:00 WAT 2023","Mon Mar 13 10:12:22 WAT 2023","21559","","","","","","File Upload Test",""
"failed","Mon Mar 13 10:13:32 WAT 2023","Mon Mar 13 10:13:51 WAT 2023","18817","","All Login Test","","","","Login with valid credentials",""
"failed","Mon Mar 13 10:14:40 WAT 2023","Mon Mar 13 10:15:41 WAT 2023","60169","","","","","","Google Search",""
"passed","Mon Mar 13 10:14:38 WAT 2023","Mon Mar 13 10:14:38 WAT 2023","34","","","","","","Read file using readFile()",""
"passed","Mon Mar 13 10:11:32 WAT 2023","Mon Mar 13 10:11:55 WAT 2023","22979","","","","","","Assertions Demo",""
"passed","Mon Mar 13 10:12:44 WAT 2023","Mon Mar 13 10:13:18 WAT 2023","33243","","The Home Page","","","","successfully loads",""
"failed","Mon Mar 13 10:13:51 WAT 2023","Mon Mar 13 10:14:29 WAT 2023","38156","","All Login Test","","","","Login with invalid email",""
